,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2009-07-29,116.36,117.28,116.05,117.26,5100900.0,3.5425,0.9227,2.6198,71.318,-4.8501,32.6248,10.04
2009-07-28,116.63,117.52,116.34,117.28,5782900.0,3.5234,1.1343,2.3891,71.4026,-4.7411,31.7423,14.03
2009-07-27,116.95,117.92,116.57,117.63,5069200.0,3.4458,1.3402,2.1056,72.807,-2.7882,30.5641,14.01
2009-07-24,116.68,118.15,116.63,117.64,6261000.0,3.2609,1.4904,1.7705,72.845,-2.7346,29.1215,16.81
2009-07-23,115.06,118.0,115.06,117.06,8461400.0,2.9766,1.5787,1.3979,72.0594,-5.0811,27.5251,14.98
2009-07-22,116.18,117.2,115.09,115.57,8813400.0,2.6294,1.6261,1.0033,69.9882,-9.209,25.8395,14.89
2009-07-21,115.87,117.04,115.38,117.04,8301700.0,2.2997,1.7029,0.5967,75.0873,-0.0,24.2004,16.85
2009-07-20,114.53,116.88,114.39,116.44,10682500.0,1.6957,1.5247,0.171,74.3798,-2.5316,22.2601,14.79
2009-07-17,113.41,115.53,113.16,115.42,20188900.0,0.9613,1.1715,-0.2102,73.1774,-0.6862,20.2016,13.69
2009-07-16,106.84,110.97,106.79,110.64,14997900.0,0.1138,0.6168,-0.5031,66.2938,-2.8771,18.2467,5.8
2009-07-15,104.75,107.22,104.6,107.22,8699100.0,-0.4829,0.1744,-0.6573,59.3655,-0.0,17.2504,2.8
2009-07-14,103.42,103.62,102.52,103.25,5413500.0,-0.8893,-0.1884,-0.7009,47.7999,-48.5244,17.5208,-2.58
2009-07-13,101.28,103.65,100.19,103.62,9494300.0,-0.9908,-0.3371,-0.6538,49.0071,-43.4454,17.9848,-2.06
2009-07-10,100.97,101.72,99.8,100.83,7465900.0,-1.1436,-0.5742,-0.5695,38.0532,-81.7433,18.4844,-5.23
2009-07-09,101.12,102.78,100.85,102.08,6153200.0,-1.038,-0.6121,-0.426,41.7876,-64.5848,17.6821,-2.07
2009-07-08,100.29,101.17,99.5,100.68,7380800.0,-1.0154,-0.7424,-0.2729,35.171,-85.3051,17.2868,-3.76
2009-07-07,101.34,101.96,100.03,100.19,6685600.0,-0.8291,-0.7418,-0.0873,32.6843,-97.9618,15.5476,-4.33
2009-07-06,101.57,102.23,100.47,101.65,6522500.0,-0.5295,-0.6276,0.0981,36.5648,-86.3899,13.8798,-4.24
2009-07-02,103.8,103.91,101.73,101.73,7026700.0,-0.288,-0.543,0.255,36.787,-100.0,12.2547,-4.6
2009-07-01,105.0,106.27,104.73,104.84,5537300.0,0.0163,-0.3745,0.3908,47.1261,-76.9497,11.0247,-2.16
2009-06-30,105.69,106.03,103.81,104.42,7512600.0,0.0878,-0.3966,0.4844,45.1945,-87.237,11.3481,-2.9
2009-06-29,105.99,106.18,105.16,105.83,4681800.0,0.2205,-0.3631,0.5836,51.0028,-67.4614,11.5101,-1.79
2009-06-26,106.5,106.5,105.05,105.68,5127900.0,0.2431,-0.4312,0.6743,50.3728,-69.5652,12.1681,-2.53
2009-06-25,103.7,106.785,103.51,106.06,6900600.0,0.2838,-0.4983,0.7821,51.944,-64.2356,12.8767,-3.34
2009-06-24,105.39,106.48,103.72,104.15,6395200.0,0.2928,-0.6139,0.9067,43.7557,-93.7861,13.6398,-4.2
2009-06-23,104.75,104.87,103.79,104.44,5152600.0,0.4946,-0.5656,1.0602,44.8327,-90.5109,14.6476,-3.7
2009-06-22,105.18,105.88,104.23,104.52,7295400.0,0.7154,-0.4862,1.2016,45.1172,-95.4758,14.7512,-2.97
2009-06-19,106.31,106.65,105.5,105.89,13559000.0,0.9786,-0.3445,1.3231,50.1803,-85.8951,15.1068,-1.35
2009-06-18,106.93,107.53,106.12,106.33,6206900.0,1.1609,-0.2483,1.4092,51.9179,-77.9385,16.2417,0.0
2009-06-17,107.46,107.88,106.88,107.0,7366200.0,1.3319,-0.1394,1.4713,54.5907,-54.4096,17.1206,0.51
2009-06-16,108.47,109.14,107.27,107.32,7231000.0,1.4626,-0.0436,1.5061,55.8662,-41.7085,17.5612,0.49
2009-06-15,107.63,108.83,107.24,107.62,8567600.0,1.5755,0.0585,1.517,57.0262,-37.9397,17.7717,-0.75
2009-06-12,108.4,109.28,107.75,108.21,7250900.0,1.6661,0.1637,1.5024,59.2736,-25.2599,18.1508,1.93
2009-06-11,108.75,110.64,108.56,109.4,9134300.0,1.6975,0.236,1.4615,63.9974,-12.8898,18.2391,4.71
2009-06-10,109.2,109.28,107.05,108.35,7578100.0,1.5917,0.1893,1.4025,61.4823,-11.2591,17.8166,5.42
2009-06-09,108.15,109.14,107.99,108.14,8585900.0,1.5404,0.1853,1.3551,60.9761,-12.3153,17.9394,3.12
2009-06-08,106.64,107.98,105.5,107.49,6363800.0,1.474,0.1652,1.3088,59.444,-16.838,17.4685,5.6
2009-06-05,107.33,108.4,106.75,107.24,7665000.0,1.4339,0.1664,1.2675,58.8672,-20.0514,17.4508,4.42
2009-06-04,106.17,106.87,105.6,106.33,5468500.0,1.3873,0.1614,1.2259,56.7902,-30.0122,16.6032,2.28
2009-06-03,106.53,106.6,105.11,106.49,7688000.0,1.4003,0.2147,1.1856,57.2623,-28.068,16.3291,0.98
2009-06-02,107.51,108.8,106.66,106.83,7045800.0,1.3803,0.2484,1.1319,58.2172,-23.9368,16.153,2.25
2009-06-01,106.94,108.67,106.67,108.37,7725000.0,1.3,0.2302,1.0698,62.6084,-3.7037,14.9115,7.0
2009-05-29,104.47,106.5,103.95,106.28,6871800.0,1.0219,0.0096,1.0123,58.6808,-3.7099,13.6217,5.23
2009-05-28,103.34,105.14,102.68,104.69,6127500.0,0.8648,-0.1451,1.0099,55.3691,-22.7345,13.0912,2.43
2009-05-27,104.34,105.17,102.91,102.93,7119600.0,0.8136,-0.2325,1.0461,51.3623,-50.7154,13.1622,-1.01
2009-05-26,101.32,105.63,101.02,105.02,7211200.0,0.9156,-0.1886,1.1043,57.0056,-17.4881,13.0939,2.12
2009-05-22,102.67,103.31,101.75,101.89,5596200.0,0.8197,-0.3317,1.1514,49.2516,-70.5293,13.0205,0.4
2009-05-21,103.07,103.25,101.74,102.82,7411500.0,1.0041,-0.2303,1.2344,51.8306,-57.2246,13.9733,0.23
2009-05-20,105.51,105.98,103.81,104.05,7083100.0,1.1301,-0.1618,1.2919,55.3929,-39.628,14.9676,-0.57
2009-05-19,104.33,106.12,104.0,105.51,7079200.0,1.1493,-0.1831,1.3324,59.933,-18.7411,15.0424,-0.34
2009-05-18,102.0,104.71,101.94,104.58,7429500.0,1.0084,-0.3697,1.3781,57.8916,-32.0458,15.0078,-1.61
2009-05-15,100.9,103.07,100.57,101.37,8367400.0,0.9086,-0.562,1.4706,49.6735,-71.9947,15.6171,-3.24
2009-05-14,101.72,102.71,100.77,101.05,9445100.0,1.0948,-0.5163,1.6111,48.7475,-76.2219,16.5034,-2.16
2009-05-13,102.88,103.1,101.35,102.26,8202100.0,1.3491,-0.391,1.7401,52.1141,-60.2378,17.2566,-1.78
2009-05-12,102.98,104.38,102.37,103.94,7961600.0,1.531,-0.3069,1.8379,57.2077,-38.0449,18.3482,2.0
2009-05-11,101.09,103.877,100.95,102.9,8253000.0,1.5697,-0.3449,1.9146,54.6604,-51.7834,19.487,2.95
2009-05-08,103.58,103.75,99.83,101.49,11575500.0,1.7022,-0.2987,2.0009,50.9872,-61.8329,20.9525,1.41
2009-05-07,104.65,104.7964,101.83,102.59,8521400.0,1.9901,-0.0854,2.0755,54.1661,-49.0719,22.5394,1.17
2009-05-06,105.23,105.5,103.71,104.62,7530900.0,2.2167,0.1198,2.0969,60.6454,-25.522,23.3373,2.07
2009-05-05,106.0,106.82,105.51,105.85,6750000.0,2.2669,0.2,2.0669,65.0215,-11.2529,23.1371,3.54
2009-05-04,105.26,106.75,104.61,106.19,8313900.0,2.1728,0.1559,2.0169,66.2485,-5.4316,21.7344,5.76
2009-05-01,103.78,104.86,102.94,104.61,6234200.0,1.9865,0.0086,1.9779,63.2565,-14.9844,20.2437,3.34
