,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Signal,MACD_Hist,RSI,WILLR,ADX,MOM
2001-09-17,72.3,72.31,68.58,69.4,5765800.0,-2.1538,-1.4883,-0.6655,27.7692,-94.2335,15.828,-12.5
2001-09-10,74.48,76.76,73.5,76.2,2558900.0,-1.5619,-1.3219,-0.2399,38.9429,-70.9677,13.7689,-5.1
2001-09-07,77.1,77.4,74.0,74.48,3726700.0,-1.4759,-1.262,-0.214,32.5702,-94.5455,12.9574,-3.22
2001-09-06,78.0,78.8,76.65,77.1,2891400.0,-1.1697,-1.2085,0.0388,38.2114,-73.5484,12.2639,-0.4
2001-09-05,80.65,81.4,78.1,78.55,3372100.0,-1.0285,-1.2182,0.1897,41.9448,-54.8387,12.5969,3.15
2001-09-04,79.95,81.45,79.25,79.62,2620700.0,-0.981,-1.2656,0.2846,44.9545,-41.0323,13.4639,2.37
2001-08-31,79.7,81.4,79.01,80.1,2008900.0,-1.0151,-1.3367,0.3216,46.3396,-39.521,13.7739,2.85
2001-08-30,80.3,80.3,78.5,79.61,3152600.0,-1.0927,-1.4171,0.3244,44.7252,-45.3892,14.1304,-1.49
2001-08-29,81.55,81.55,79.8,80.8,2578800.0,-1.1259,-1.4982,0.3723,47.9803,-31.1377,15.0098,-1.05
2001-08-28,81.9,82.03,80.51,81.05,3512900.0,-1.2731,-1.5913,0.3182,48.6714,-28.1437,15.2904,-0.25
2001-08-27,81.3,82.8,80.5,81.9,2368800.0,-1.468,-1.6709,0.2029,50.9899,-23.0337,15.2096,-0.3
2001-08-24,78.0,81.5,77.9,81.3,2903600.0,-1.7819,-1.7216,-0.0603,49.4103,-31.5444,15.1226,0.5
2001-08-23,77.27,77.98,76.8,77.7,2108800.0,-2.0955,-1.7065,-0.389,38.3378,-73.5,15.5176,-2.35
2001-08-22,75.41,77.5,75.05,77.5,4084400.0,-2.0987,-1.6093,-0.4895,37.6336,-78.6026,15.8458,-4.3
2001-08-21,77.83,79.69,75.4,75.4,3768800.0,-2.052,-1.4869,-0.5651,29.8195,-100.0,15.9356,-8.14
2001-08-20,77.25,77.25,77.25,77.25,2560400.0,-1.7487,-1.3456,-0.4031,33.2249,-98.0861,16.1722,-6.7
2001-08-17,80.05,80.15,77.05,77.25,4275400.0,-1.5245,-1.2448,-0.2797,33.2249,-98.0861,15.0387,-8.25
2001-08-16,81.3,81.85,79.96,81.1,2545200.0,-1.2162,-1.1749,-0.0413,41.7879,-71.5084,13.8179,-5.2
2001-08-15,81.5,82.17,80.81,81.85,2309300.0,-1.1969,-1.1646,-0.0324,43.8314,-63.1285,13.5493,-3.5
2001-08-14,82.2,83.4,81.3,81.3,2258600.0,-1.2313,-1.1565,-0.0748,41.8966,-69.2737,13.6187,-1.86
