,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2012-11-15,81.35,82.5748,80.5,81.3,7794600.0,-0.4571,-0.8171,-0.36,39.3619,-90.1232,13.6579,-6.35
2012-11-14,83.9,83.9,80.88,81.1,8497000.0,-0.3671,-0.6193,-0.2522,38.6583,-97.1502,12.8843,-3.71
2012-11-13,84.72,85.18,83.17,83.26,7695300.0,-0.304,-0.3375,-0.0334,43.7498,-85.6217,12.2053,-0.99
2012-11-12,84.44,85.57,84.23,85.18,5800500.0,-0.2957,-0.1927,0.1029,49.0859,-54.1982,12.5116,1.65
2012-11-09,83.0,85.286,82.9,84.95,7282200.0,-0.3214,-0.2007,0.1207,48.3857,-57.8434,13.4061,2.22
2012-11-08,85.16,85.24,83.52,83.66,6240600.0,-0.3516,-0.1845,0.1671,44.4032,-78.2877,14.2118,0.08
2012-11-07,86.73,87.23,84.84,85.02,8209200.0,-0.3934,-0.0298,0.3635,48.0312,-56.734,15.21,-0.06
2012-11-06,87.35,88.5998,87.3,88.08,7048900.0,-0.4842,0.0296,0.5138,57.9183,-8.238,15.5631,4.22
2012-11-05,85.85,86.78,85.59,86.77,4044600.0,-0.6127,-0.2066,0.406,54.1679,-27.0313,14.3173,0.15
2012-11-02,88.49,88.5,85.7,85.79,6982000.0,-0.7142,-0.3717,0.3425,51.1432,-42.3437,13.7688,-0.84
2012-11-01,85.22,87.86,85.0,87.65,8550000.0,-0.7998,-0.4772,0.3226,57.8745,-3.6458,13.0982,2.69
2012-10-31,85.53,85.92,84.45,84.81,5914600.0,-0.8805,-0.7943,0.0862,48.21,-50.0921,12.6649,2.0
2012-10-26,83.48,84.32,83.24,84.25,7165300.0,-0.902,-0.8983,0.0037,45.9391,-60.4052,13.1856,1.43
2012-10-25,83.39,83.54,82.3633,83.53,5983300.0,-0.9029,-0.961,-0.0581,42.9526,-73.6648,13.6576,0.68
2012-10-24,84.07,84.14,82.52,82.73,5509000.0,-0.8884,-0.9537,-0.0653,39.5046,-88.3978,13.619,-0.43
2012-10-23,83.9,84.14,82.98,83.58,7496100.0,-0.8721,-0.8491,0.023,42.0097,-72.744,13.6602,-1.17
2012-10-22,82.94,86.04,82.29,85.08,17158300.0,-0.8778,-0.7898,0.0881,46.8812,-45.1197,13.9414,-0.36
2012-10-19,85.33,85.48,83.49,83.86,9874300.0,-0.8998,-0.8553,0.0446,41.7827,-67.5875,14.2442,-1.57
2012-10-18,86.38,87.53,85.83,86.62,6813600.0,-0.911,-0.8022,0.1088,52.3353,-16.7587,15.1693,0.66
2012-10-17,85.62,86.77,85.21,86.63,7339000.0,-0.9382,-1.0038,-0.0657,52.3798,-13.5496,15.1092,1.35
2012-10-16,83.59,85.04,83.21,84.96,6943000.0,-0.9218,-1.2476,-0.3258,45.1457,-51.1111,15.4283,-0.51
2012-10-15,82.91,83.2,82.1,82.81,6357300.0,-0.8403,-1.3705,-0.5303,32.9734,-87.8632,16.4756,-2.66
2012-10-12,83.0,84.1,82.455,82.82,6012400.0,-0.7077,-1.2886,-0.5809,33.005,-92.1918,16.3105,-3.22
2012-10-11,83.39,83.7,82.25,82.85,7643800.0,-0.5625,-1.1664,-0.6039,33.0934,-93.7041,16.3234,-4.07
2012-10-10,83.89,84.37,82.6,83.16,10634900.0,-0.4115,-0.9964,-0.5849,33.9667,-94.8244,16.0431,-3.79
2012-10-09,85.72,86.15,84.5,84.75,5810600.0,-0.2653,-0.7965,-0.5312,38.8494,-95.5899,15.9106,-2.26
2012-10-08,84.94,85.81,84.43,85.44,4532600.0,-0.1325,-0.6917,-0.5592,41.2382,-88.9676,16.7857,-5.43
2012-10-05,86.85,87.34,85.01,85.43,6547700.0,0.0073,-0.6181,-0.6254,41.1895,-89.0688,17.5073,-6.29
2012-10-04,85.52,86.5,85.2,85.96,5076900.0,0.1636,-0.5142,-0.6778,42.9396,-83.7045,18.6084,-6.58
2012-10-03,85.44,85.64,84.55,85.28,5584500.0,0.3331,-0.428,-0.761,39.8972,-90.6344,19.2769,-8.66
2012-10-02,85.63,85.93,84.35,85.47,8819000.0,0.5233,-0.2425,-0.7658,40.4569,-88.721,19.4382,-7.6
2012-10-01,86.72,87.15,85.24,85.47,7385000.0,0.7148,-0.0216,-0.7364,40.4569,-97.4558,19.612,-6.52
2012-09-28,86.36,86.59,85.43,86.04,7519300.0,0.8989,0.2606,-0.6383,41.9802,-93.1073,20.1981,-7.13
2012-09-27,87.84,87.95,86.75,86.92,7585300.0,1.0584,0.559,-0.4994,44.3755,-86.7925,20.5022,-3.76
2012-09-26,86.9,87.9265,85.8,86.95,8864800.0,1.1833,0.8422,-0.3411,44.4558,-86.4387,21.4138,-2.17
2012-09-25,88.66,89.55,87.0,87.01,13936300.0,1.2686,1.1883,-0.0802,44.6057,-66.5142,22.383,-1.59
2012-09-24,90.45,91.78,90.45,90.87,8604700.0,1.2886,1.6067,0.3181,55.8568,-27.28,23.9644,3.77
2012-09-21,93.42,93.42,91.37,91.72,10786300.0,1.2091,1.7243,0.5152,58.8944,-20.48,24.0055,3.62
2012-09-20,92.99,92.99,91.25,92.54,7094100.0,1.0803,1.7628,0.6825,61.9103,-13.92,23.4036,7.75
2012-09-19,93.3,94.23,92.81,93.94,6785200.0,0.9097,1.7028,0.7932,67.3806,-2.72,22.9151,11.19
2012-09-18,91.77,93.07,91.77,93.07,6596500.0,0.7114,1.4589,0.7476,65.6281,-9.68,21.249,10.41
2012-09-17,92.94,93.5,91.7301,91.99,7996500.0,0.5245,1.215,0.6906,63.3589,-18.32,19.8198,6.66
2012-09-14,92.21,94.28,91.98,93.17,11375700.0,0.3518,0.996,0.6442,67.9073,-8.88,18.2807,8.7
2012-09-13,88.63,90.97,88.3,90.68,7836600.0,0.1908,0.5818,0.391,62.6541,-3.1556,16.4494,4.59
2012-09-12,89.49,90.24,88.66,89.12,6016400.0,0.093,0.2981,0.2051,58.7234,-13.2388,15.5821,3.11
2012-09-11,87.7,89.12,87.41,88.6,5877800.0,0.0418,0.0906,0.0489,57.3334,-19.7647,14.9456,1.97
2012-09-10,87.94,88.63,87.08,87.1,5591600.0,0.0295,-0.1226,-0.1521,53.1034,-48.3495,14.7435,-0.37
2012-09-07,87.26,88.44,86.75,88.1,10698000.0,0.0676,-0.2403,-0.3078,56.5757,-38.6408,14.7459,0.47
2012-09-06,83.55,84.93,83.35,84.79,6982600.0,0.1445,-0.4888,-0.6333,45.6537,-70.7767,14.8314,-3.93
2012-09-05,82.6,83.08,81.78,82.75,6234700.0,0.3029,-0.4618,-0.7646,36.5157,-90.5825,15.1801,-7.54
2012-09-04,85.03,85.13,82.21,82.66,11287600.0,0.494,-0.2129,-0.707,36.0754,-95.4407,14.2245,-7.78
2012-08-31,85.18,85.936,84.25,85.33,5481300.0,0.6708,0.1169,-0.5538,44.5965,-86.2069,13.3905,-4.68
2012-08-30,85.56,85.82,84.46,84.47,5170100.0,0.8092,0.2644,-0.5448,40.3849,-99.7379,13.5449,-4.12
2012-08-29,85.58,86.33,84.45,86.09,8731900.0,0.9454,0.5364,-0.409,46.5782,-78.5059,13.8322,-1.52
2012-08-28,86.37,86.99,85.88,86.01,4697200.0,1.0477,0.7107,-0.3369,46.1999,-97.9032,14.1417,-1.86
2012-08-27,87.65,88.0,86.54,86.63,4273400.0,1.1319,0.9311,-0.2008,48.6809,-92.0608,15.1762,-1.98
2012-08-24,86.92,87.75,86.4,87.47,4979000.0,1.1821,1.1357,-0.0464,52.2081,-77.8716,15.8833,-1.47
2012-08-23,88.64,88.72,87.14,87.63,5469400.0,1.1937,1.2948,0.1011,52.8858,-67.4242,16.781,-0.77
2012-08-22,90.04,90.28,87.63,88.72,8843500.0,1.1684,1.4628,0.2944,57.6174,-41.9476,17.3104,1.5
2012-08-21,91.0,92.08,89.95,90.29,7159700.0,1.0948,1.5449,0.4501,65.4491,-17.9359,17.587,3.07
2012-08-20,89.74,90.48,89.23,90.44,5296000.0,0.9823,1.4673,0.4851,66.248,-0.4773,16.3095,4.09
2012-08-17,89.86,90.1,89.1,90.01,7848500.0,0.861,1.3318,0.4708,65.1145,-1.125,15.5937,4.99
2012-08-16,87.74,88.83,87.23,88.59,4979200.0,0.7433,1.1831,0.4398,61.1096,-14.0397,14.9921,5.47
2012-08-15,87.25,87.73,86.16,87.61,6345200.0,0.6334,1.1208,0.4874,58.0212,-26.7717,14.9403,4.96
2012-08-14,89.49,89.65,87.76,87.87,5485600.0,0.5115,1.1247,0.6132,59.179,-23.3596,15.4591,3.66
2012-08-13,88.84,89.2699,87.6,88.61,5403400.0,0.3582,1.0869,0.7287,62.4736,-7.3486,14.8869,2.92
2012-08-10,88.26,88.96,87.64,88.94,5500300.0,0.1761,0.9475,0.7714,63.9478,-0.2301,14.454,2.78
2012-08-09,87.41,88.79,87.25,88.4,6700600.0,-0.0168,0.7221,0.7389,62.607,-3.9016,14.1342,5.1
2012-08-08,86.49,87.8798,86.35,87.22,6139600.0,-0.2015,0.4789,0.6805,59.555,-11.5473,13.8671,4.62
2012-08-07,87.0,88.32,86.75,87.22,6049800.0,-0.3716,0.2818,0.6534,59.555,-11.5473,13.9942,5.79
2012-08-06,85.73,87.0,85.48,86.35,6384800.0,-0.535,0.026,0.561,57.3416,-7.921,13.8943,4.77
2012-08-03,84.53,86.0,84.07,85.02,6941300.0,-0.6752,-0.2123,0.463,53.7484,-23.8503,14.3847,4.07
2012-08-02,82.46,84.3,82.1,83.12,8097300.0,-0.791,-0.3779,0.4131,47.9303,-47.089,15.4038,0.49
2012-08-01,85.0,85.07,82.5,82.65,9366200.0,-0.8943,-0.3903,0.504,46.3811,-52.8376,15.7462,0.13
2012-07-31,85.77,86.36,84.14,84.21,9192500.0,-1.0203,-0.3526,0.6677,51.0638,-31.6514,16.303,2.3
2012-07-30,86.62,86.97,85.0,85.69,6504600.0,-1.1872,-0.4582,0.729,56.0489,-14.6789,17.3903,4.54
2012-07-27,83.18,86.6,82.03,86.16,11229000.0,-1.3695,-0.737,0.6325,57.7103,-5.2695,18.0877,4.09
2012-07-26,83.84,84.65,82.1,83.3,10138200.0,-1.5276,-1.13,0.3976,49.2023,-29.8611,19.0127,3.66
2012-07-25,85.13,85.45,80.29,82.6,19877300.0,-1.627,-1.3239,0.303,46.7683,-39.5833,19.9497,2.86
2012-07-24,82.75,83.3,80.27,81.43,8780500.0,-1.7027,-1.481,0.2218,42.4917,-65.8432,20.9589,1.16
2012-07-23,79.66,82.6,78.794,81.58,7567700.0,-1.7582,-1.5407,0.2174,42.902,-64.232,20.8123,-1.56
2012-07-20,81.93,82.57,80.66,80.95,5897000.0,-1.8125,-1.6099,0.2027,40.6675,-70.9989,20.2054,-3.66
2012-07-19,82.96,83.4,82.05,82.63,5616100.0,-1.8632,-1.6106,0.2526,45.0313,-52.9538,20.2829,-4.16
2012-07-18,80.53,83.35,80.09,82.52,7457800.0,-1.9264,-1.7591,0.1672,44.6703,-54.1353,20.9979,-3.94
2012-07-17,81.89,82.29,79.95,81.91,6462700.0,-1.9682,-1.9119,0.0563,42.7338,-60.6874,21.7388,-1.77
2012-07-16,81.85,81.85,80.2,81.15,4989800.0,-1.9822,-2.017,-0.0347,40.3173,-68.8507,21.9213,-3.76
2012-07-13,79.95,82.14,79.55,82.07,7619500.0,-1.9736,-2.0444,-0.0708,42.3249,-58.9689,21.8563,-0.56
2012-07-12,78.98,80.33,78.25,79.64,8743600.0,-1.9558,-2.1433,-0.1875,34.3011,-85.0698,21.7862,-2.61
2012-07-11,80.52,80.74,79.25,79.74,8184100.0,-1.909,-1.991,-0.082,34.4844,-92.654,20.6496,-2.99
2012-07-10,83.56,84.3,79.12,80.27,15154700.0,-1.8885,-1.7778,0.1107,35.416,-88.0208,19.7241,-2.62
2012-07-09,83.94,84.35,82.96,83.14,6291200.0,-1.9162,-1.5337,0.3824,40.9828,-75.3114,18.7274,-1.82
2012-07-06,85.25,85.25,83.83,84.61,6952000.0,-2.0118,-1.4922,0.5196,44.2942,-58.6636,18.9693,-0.37
2012-07-05,86.63,87.56,85.6344,86.79,5547600.0,-2.1417,-1.5671,0.5746,49.8396,-33.9751,19.5965,-0.38
2012-07-03,83.9,86.7,83.88,86.46,4357800.0,-2.2853,-1.8619,0.4234,48.9411,-37.7123,21.0991,-2.38
2012-07-02,85.35,85.48,83.0376,83.68,6420600.0,-2.3912,-2.1774,0.2137,40.6205,-69.1959,22.2882,-3.06
2012-06-29,84.32,84.94,83.81,84.91,7053400.0,-2.4446,-2.2655,0.1791,43.5352,-55.2661,22.9083,-2.02
2012-06-28,81.66,82.7,80.96,82.63,9716100.0,-2.4894,-2.4702,0.0192,35.5786,-81.0872,23.9072,-3.26
2012-06-27,82.63,82.87,81.71,82.25,7407600.0,-2.4942,-2.4634,0.0308,34.1424,-93.3168,23.6617,-3.04
2012-06-26,83.31,83.52,81.8,82.73,5590300.0,-2.5019,-2.3801,0.1217,35.0592,-88.4758,23.6836,-4.32
