Date,Open,High,Low,Close,Volume,WillR%,RSI,MOM,Hist,Signal,MACD,CLASS LABEL
4/10/2018,173,174,171.53,173.25,28614241,-17.7903,52.5782,0.48,0.122,-0.9645,-0.8425,1
4/9/2018,169.88,173.09,169.845,170.05,29017718,-54.7445,47.6629,5.11,-0.1701,-0.995,-1.1651,1
4/6/2018,170.97,172.48,168.2,168.38,35005290,-69.9231,44.8951,-0.47,-0.2816,-0.9525,-1.234,0
4/5/2018,172.58,174.2304,172.08,172.8,26933197,-43.1399,51.602,1.53,-0.252,-0.8821,-1.1341,1
4/4/2018,164.88,172.01,164.77,171.61,34605489,-54.7242,49.7243,-3.63,-0.6209,-0.8191,-1.44,1
4/3/2018,167.64,168.7455,164.88,168.39,30278046,-75.5763,44.2941,-6.91,-1.0245,-0.6638,-1.6884,1
4/2/2018,167.88,168.94,164.47,166.68,37586791,-88.3868,41.1602,-11.34,-1.2453,-0.4077,-1.653,0
3/29/2018,167.805,171.75,166.9,167.78,38398505,-84.6983,42.5915,-10.87,-1.3133,-0.0964,-1.4097,1
3/28/2018,167.25,170.02,165.19,166.48,41668545,-91.7026,40.3138,-11.96,-1.4225,0.2319,-1.1906,0
3/27/2018,173.68,175.15,166.92,168.34,40922579,-81.681,42.557,-11.63,-1.3489,0.5876,-0.7613,0
3/26/2018,168.07,173.1,166.44,172.77,37541236,-57.8125,48.5289,-8.95,-1.3164,0.9248,-0.3917,1
3/23/2018,168.39,169.92,164.94,164.94,41028784,-100,33.1274,-15.04,-1.6191,1.2539,-0.3652,0
3/22/2018,170,172.68,168.6,168.85,41490767,-98.3221,38.4643,-8.09,-1.1876,1.6587,0.4711,0
3/21/2018,175.04,175.09,171.26,171.27,37054935,-99.9183,42.389,-3.76,-0.822,1.9556,1.1335,0
3/20/2018,175.24,176.8,174.94,175.24,19649350,-74.7511,50.1901,-1.43,-0.4449,2.1611,1.7162,0
3/19/2018,177.32,177.47,173.66,175.3,33446771,-74.2081,50.32,-1.52,-0.2417,2.2723,2.0306,0
3/16/2018,178.65,179.12,177.62,178.02,39404688,-49.5928,56.4761,1.81,0.0636,2.3327,2.3964,0
3/15/2018,178.5,180.24,178.0701,178.65,22743798,-43.8914,58.0022,3.65,0.2346,2.3168,2.5514,1
3/14/2018,180.32,180.52,177.81,178.44,29368356,-45.7919,57.648,0.32,0.3898,2.2582,2.648,0
3/13/2018,182.59,183.5,179.24,179.97,31693529,-29.9406,61.1366,1.58,0.5934,2.1607,2.7541,0
3/12/2018,180.29,182.39,180.21,181.72,32207081,-5.8875,65.336,2.75,0.6814,2.0124,2.6938,1
3/9/2018,177.96,180,177.39,179.98,32185162,-6.6111,62.9888,4.48,0.5574,1.842,2.3994,1
3/8/2018,175.48,177.12,175.07,176.94,23774107,-38.2613,58.4214,4.44,0.4632,1.7027,2.1659,1
3/7/2018,174.94,175.85,174.27,175.03,31703462,-48.0844,55.1955,3.96,0.559,1.5869,2.1459,0
3/6/2018,177.91,178.25,176.13,176.67,23788506,-22.2441,58.8349,4.82,0.8365,1.4471,2.2836,0
3/5/2018,175.21,177.74,174.52,176.82,28401366,-20.0105,59.1663,4.39,1.0213,1.238,2.2593,1
3/2/2018,172.8,176.3,172.45,176.21,38453950,-19.0651,58.279,3.22,1.1973,0.9827,2.18,1
3/1/2018,178.54,179.775,172.66,175,48801970,-18.4856,56.5397,7.63,1.4259,0.6833,2.1092,0
2/28/2018,179.26,180.615,178.05,178.12,37782138,-8.214,62.8092,13.78,1.7846,0.3269,2.1114,0
2/27/2018,179.1,180.48,178.16,178.39,38928125,-6.9114,63.3739,15.68,1.8851,-0.1193,1.7659,0
2/26/2018,176.35,179.39,176.21,178.97,38162174,-1.4408,64.5312,22.56,1.8621,-0.5905,1.2716,1
2/23/2018,173.67,175.65,173.54,175.5,33812360,-0.5903,60.5267,20.35,1.6193,-1.0561,0.5632,1
2/22/2018,171.8,173.95,171.71,172.5,30991940,-9.4386,56.5923,12.96,1.465,-1.4609,0.0041,1
2/21/2018,172.83,174.12,171.01,171.07,37471623,-15.2563,54.5889,8.04,1.4231,-1.8272,-0.4041,0
2/20/2018,172.05,174.26,171.42,171.85,33930540,-12.083,55.8955,15.36,1.4094,-2.1829,-0.7736,0
2/16/2018,172.36,174.82,171.77,172.43,40176091,-9.7234,56.8348,11.93,1.2219,-2.5353,-1.3134,0
2/15/2018,169.79,173.09,169,172.99,51147171,-0.4376,57.7042,5.21,0.7985,-2.8407,-2.0423,1
2/14/2018,163.045,167.54,162.88,167.37,40644933,-21.2776,50.6726,-0.06,0.0404,-3.0404,-3,1
2/13/2018,161.95,164.75,161.65,164.34,32549163,-42.9381,46.1944,-2.63,-0.556,-3.0505,-3.6065,1
2/12/2018,158.5,163.89,157.51,162.71,60819539,-53.9172,43.6383,-5.25,-1.1082,-2.9114,-4.0196,1
2/9/2018,157.07,157.89,150.24,156.41,70672608,-78.8699,32.0541,-15.1,-1.6881,-2.6344,-4.3225,1
2/8/2018,160.29,161,155.03,155.15,54390516,-95.4796,29.3576,-15.96,-1.7924,-2.2124,-4.0048,0
2/7/2018,163.085,163.4,159.0685,159.54,51608580,-78.3425,33.6822,-14.68,-1.6484,-1.7643,-3.4127,0
2/6/2018,154.83,163.72,154,163.03,68243838,-65.4023,37.7917,-14.01,-1.7022,-1.3522,-3.0544,1
2/5/2018,159.1,163.88,156,156.49,72738522,-97.9668,21.025,-20.51,-1.9813,-0.9266,-2.9079,0
2/2/2018,166,166.8,160.1,160.5,86593825,-98,24.8362,-17.96,-1.5814,-0.4313,-2.0127,0
2/1/2018,167.165,168.62,166.76,167.78,47230787,-80,35.7658,-11.48,-1.2133,-0.0359,-1.2492,1
1/31/2018,166.87,168.4417,166.5,167.43,32478930,-82.2727,34.4786,-11.67,-1.2651,0.2674,-0.9978,1
1/30/2018,165.525,167.37,164.7,166.97,46048185,-85.2597,32.836,-9.22,-1.2103,0.5837,-0.6267,0
1/29/2018,170.16,170.16,167.07,167.96,50640406,-93.1696,34.5678,-9.13,-0.9833,0.8862,-0.097,0
1/26/2018,172,172,170.06,171.51,39143011,-85.5578,41.9318,-3.77,-0.6525,1.1321,0.4795,1
1/25/2018,174.505,174.95,170.53,171.11,41529004,-93.9394,40.608,-3.18,-0.4481,1.2952,0.8471,0
1/24/2018,177.25,177.3,173.2,174.22,51105090,-73.3167,48.6083,-0.11,-0.0627,1.4072,1.3445,0
1/23/2018,177.3,179.44,176.82,177.04,32689146,-37.5921,58.275,2.69,0.2204,1.4229,1.6433,1
1/22/2018,177.3,177.78,176.6016,177,27108551,-28.5978,58.1654,2,0.3458,1.3678,1.7136,0
1/19/2018,178.61,179.58,177.41,178.46,32425067,-15.0735,63.8486,5.43,0.5011,1.2814,1.7824,0
1/18/2018,179.37,180.1,178.25,179.26,31193352,-7.7206,67.1888,7.03,0.5397,1.1561,1.6958,1
1/17/2018,176.15,179.25,175.07,179.1,34386836,-2.8515,66.8669,6.84,0.4578,1.0212,1.479,1
1/16/2018,177.9,179.39,176.14,176.19,29565947,-31.4651,60.2867,6.96,0.2904,0.9067,1.1971,0
1/12/2018,176.18,177.36,175.65,177.09,25418080,-3.317,63.9331,6.01,0.282,0.8341,1.1162,1
1/11/2018,174.59,175.4886,174.49,175.28,18667729,-10.8824,59.3406,4.68,0.1414,0.7636,0.905,1
1/10/2018,173.16,174.3,173,174.29,23959895,-25.4412,56.5292,3.72,0.0784,0.7283,0.8067,0
1/9/2018,174.55,175.06,173.41,174.33,21583997,-24.8529,56.6763,-0.68,0.0615,0.7087,0.7702,0
1/8/2018,174.35,175.61,173.93,174.35,20567766,-35.7143,56.7448,-0.66,0.015,0.6933,0.7083,0
1/5/2018,173.44,175.37,173.05,175,23660018,-27.5689,58.8936,0.65,-0.0725,0.6896,0.617,1
1/4/2018,172.54,173.47,172.08,173.03,22434597,-52.2556,53.9903,-1.51,-0.2823,0.7077,0.4254,1
1/3/2018,172.53,174.55,171.96,172.23,29517899,-62.2807,51.8233,-4.19,-0.4032,0.7783,0.3751,0
1/2/2018,170.16,172.3,169.26,172.26,25555934,-61.9048,51.9084,-1.71,-0.4921,0.8791,0.387,1
12/29/2017,170.52,170.59,169.22,169.23,25999922,-94.7681,43.1499,-2.99,-0.6087,1.0021,0.3934,0
12/28/2017,171,171.85,170.48,171.08,16480187,-72.7705,48.1183,-1.19,-0.4498,1.1543,0.7045,1
12/27/2017,170.1,170.78,169.71,170.6,21498213,-78.478,46.638,-1.1,-0.3639,1.2667,0.9028,1
12/26/2017,170.8,171.47,169.679,170.57,33185536,-61.7318,46.5495,-2.1,-0.1659,1.3577,1.1918,0
12/22/2017,174.68,175.424,174.5,175.01,16349444,-20.3911,60.2932,5.64,0.1471,1.3991,1.5463,0
12/21/2017,174.17,176.02,174.1,175.01,20949896,-20.3911,60.2932,5.69,0.1618,1.3624,1.5242,1
12/20/2017,174.87,175.42,173.25,174.35,23475649,-26.5363,58.7314,5.34,0.1519,1.3219,1.4738,0
12/19/2017,175.03,175.39,174.09,174.54,27436447,-24.7672,59.3555,4.9,0.1714,1.2839,1.4553,0
12/18/2017,174.88,177.2,174.86,176.42,29421114,-7.2626,65.7771,6.62,0.1501,1.2411,1.3912,1
12/15/2017,173.63,174.17,172.46,173.97,40169307,-10.7015,60.6217,2.92,-0.1059,1.2035,1.0976,1
12/14/2017,172.4,173.13,171.65,172.22,20476541,-33.1787,56.2504,0.37,-0.2735,1.23,0.9565,0
12/13/2017,172.5,173.54,172,172.27,23818447,-35.7301,56.4166,2.79,-0.3578,1.2984,0.9406,1
12/12/2017,172.15,172.39,171.461,171.7,19409230,-42.0354,55.0098,-1.37,-0.4863,1.3879,0.9015,0
12/11/2017,169.2,172.89,168.79,172.67,35273759,-31.3053,57.9664,-1.42,-0.6128,1.5094,0.8966,1
12/8/2017,170.49,171,168.82,169.37,23355231,-67.8097,49.3701,-5.6,-0.8841,1.6626,0.7785,1
12/7/2017,169.03,170.44,168.91,169.32,25673308,-68.3628,49.224,-5.64,-0.9312,1.8837,0.9524,1
12/6/2017,167.5,170.2047,166.46,169.01,28560000,-71.792,48.3663,-4.13,-0.9508,2.1165,1.1657,0
12/5/2017,169.06,171.52,168.4,169.64,27350154,-70.2638,49.9589,-0.34,-0.9017,2.3542,1.4525,0
12/4/2017,172.48,172.62,169.63,169.8,32542385,-68.3453,50.3499,-0.35,-0.8464,2.5796,1.7332,0
12/1/2017,169.95,171.67,168.5,171.05,39759288,-53.3573,53.3807,-0.05,-0.7411,2.7912,2.0501,0
11/30/2017,170.43,172.14,168.44,171.85,41527218,-43.765,55.3611,2.77,-0.679,2.9765,2.2975,1
11/29/2017,172.63,172.92,167.16,169.48,41666364,-74.0347,50.2876,-1.86,-0.6479,3.1462,2.4983,0
11/28/2017,174.3,174.87,171.86,173.07,26428802,-40.3308,59.8566,-0.9,-0.3486,3.3082,2.9596,0
11/27/2017,175.05,175.08,173.34,174.09,20716802,-27.3537,63.0203,-0.58,-0.2556,3.3953,3.1398,0
11/24/2017,175.1,175.5,174.6459,174.97,14026673,-16.1578,65.8069,-0.91,-0.239,3.4592,3.2203,1
11/22/2017,173.36,175,173.05,174.96,25588925,-16.285,65.7909,-1.28,-0.3324,3.519,3.1866,1
11/21/2017,170.78,173.7,170.78,173.14,25131295,-28.2847,62.8611,-1.67,-0.5039,3.6021,3.0982,1
11/20/2017,170.29,170.56,169.56,169.98,16262447,-57.1168,56.9116,-4.27,-0.6024,3.728,3.1257,0
11/17/2017,171.04,171.39,169.64,170.15,21899544,-55.5657,57.3707,-2.35,-0.4416,3.8786,3.437,0
11/16/2017,171.18,171.87,170.3,171.1,23637484,-41.0543,59.8773,2.99,-0.2219,3.989,3.7671,1
11/15/2017,169.97,170.3197,168.38,169.08,29158070,-40.821,56.0894,2.19,-0.0076,4.0445,4.0369,0
11/14/2017,173.04,173.48,171.18,171.34,24782487,-25.1799,62.1888,2.3,0.4818,4.0464,4.5282,0
11/13/2017,173.5,174.5,173.4,173.97,16982080,-10.825,70.4696,7.25,0.9333,3.926,4.8593,0
11/10/2017,175.11,175.38,174.27,174.67,25145500,-7.4869,72.8676,11.62,1.2508,3.6926,4.9434,0
11/9/2017,175.11,176.095,173.14,175.88,29185668,-1.7167,77.0776,18.47,1.5277,3.3799,4.9076,0
11/8/2017,174.66,176.24,174.33,176.24,23907639,0,78.3279,19.83,1.6693,2.998,4.6674,1
11/7/2017,173.91,175.25,173.6,174.81,24361485,-2.175,76.9487,17.71,1.6755,2.5807,4.2561,1
11/6/2017,172.365,174.99,171.72,174.25,35026306,-3.7056,76.4027,18.08,1.6532,2.1618,3.815,1
11/3/2017,174,174.26,171.12,172.5,59398631,-9.1476,74.6609,16.25,1.5049,1.7485,3.2534,1
11/2/2017,167.64,168.5,165.28,168.11,41393373,-12.2654,69.3993,12.13,1.2953,1.3723,2.6676,1
11/1/2017,169.87,169.94,165.61,166.89,33637762,-20.4424,67.6668,7.13,1.2795,1.0485,2.328,0
10/31/2017,167.9,169.6499,166.94,169.04,36046828,-4.1689,74.5763,8.57,1.2562,0.7286,1.9848,1
10/30/2017,163.89,168.07,163.72,166.72,44700772,-10.3448,71.6786,6.84,0.8846,0.4146,1.2991,1
10/27/2017,159.29,163.6,158.7,163.05,44454160,-6.4103,65.9837,6.06,0.4478,0.1934,0.6412,1
10/26/2017,157.23,157.8295,156.78,157.41,17000469,-59.1453,52.2947,1.41,0.0844,0.0814,0.1659,1
10/25/2017,156.91,157.55,155.27,156.41,21207098,-70.6815,48.9098,-0.14,0.0706,0.0603,0.131,0
10/24/2017,156.29,157.42,156.2,157.1,17757230,-55.2786,51.2392,1.2,0.1436,0.0427,0.1863,1
10/23/2017,156.89,157.69,155.5,156.17,21984327,-55.8859,48.1484,0.33,0.1772,0.0068,0.184,0
10/20/2017,156.61,157.75,155.96,156.25,23974146,-54.9346,48.3934,0.95,0.3106,-0.0375,0.2731,1
10/19/2017,156.75,157.08,155.02,155.98,42584166,-58.1451,47.5571,0.59,0.4898,-0.1152,0.3747,0
10/18/2017,160.42,160.71,159.6,159.76,16374164,-12.5141,60.2514,6.28,0.764,-0.2376,0.5263,0
10/17/2017,159.78,160.87,159.23,160.47,18997275,-4.5096,63.1934,5.99,0.756,-0.4286,0.3274,1
10/16/2017,157.9,160,157.65,159.88,24121452,-1.5,61.7523,6.07,0.6141,-0.6176,-0.0035,1
10/13/2017,156.73,157.28,156.41,156.99,16394188,-16.0063,53.4651,2.87,0.4053,-0.7711,-0.3658,1
10/12/2017,156.35,157.37,155.7299,156,16125054,-22.6244,50.0204,2.72,0.3438,-0.8725,-0.5287,0
10/11/2017,155.97,156.98,155.75,156.55,16905640,-16.4027,52.0064,2.32,0.3303,-0.9584,-0.628,1
10/10/2017,156.055,158,155.1,155.9,15617014,-23.7557,49.82,2.76,0.2393,-1.041,-0.8017,1
10/9/2017,155.81,156.73,155.485,155.84,16262923,-26.5934,49.6233,5.29,0.1552,-1.1008,-0.9456,1
10/6/2017,154.97,155.49,154.56,155.3,17407558,-42.1301,47.917,3.41,0.0303,-1.1396,-1.1093,0
10/5/2017,154.18,155.44,154.05,155.39,21283769,-45.0617,48.1695,2,-0.1,-1.1472,-1.2472,1
10/4/2017,153.63,153.86,152.46,153.48,20163750,-63.4208,42.1638,-2.59,-0.292,-1.1222,-1.4141,0
10/3/2017,154.01,155.09,153.91,154.48,16230293,-54.9534,44.6808,-4.25,-0.363,-1.0492,-1.4122,1
10/2/2017,154.26,154.45,152.72,153.81,18698842,-60.6266,42.5471,-4.86,-0.5326,-0.9584,-1.4911,0
9/29/2017,153.21,154.13,152,154.12,26299810,-66.4865,43.264,-5.76,-0.6765,-0.8253,-1.5018,1
9/28/2017,153.89,154.28,152.7,153.28,22005455,-72.1622,40.7519,-5,-0.869,-0.6561,-1.5252,0
9/27/2017,153.8,154.7189,153.54,154.23,25504227,-65.7432,42.7392,-5.42,-1.0085,-0.4389,-1.4473,1
9/26/2017,151.78,153.92,151.69,153.14,36660045,-73.1081,39.6012,-7.72,-1.2369,-0.1868,-1.4237,1
9/25/2017,149.99,151.83,149.16,150.55,44387336,-90.6081,31.2932,-10.95,-1.3842,0.1225,-1.2617,0
9/22/2017,152.02,152.27,150.56,151.89,46645443,-90.2849,33.5075,-6.74,-1.2415,0.4685,-0.773,0
9/21/2017,155.8,155.8,152.75,153.39,37511661,-94.7498,36.1676,-7.87,-1.0533,0.7789,-0.2744,0
9/20/2017,157.9,158.26,153.83,156.07,52951364,-79.838,41.6537,-5.84,-0.829,1.0422,0.2133,0
9/19/2017,159.51,159.77,158.44,158.73,20810632,-88.3357,48.4234,-3.35,-0.6897,1.2495,0.5597,1
9/18/2017,160.11,160.5,157.995,158.67,28269435,-89.1892,48.2472,-5.38,-0.6989,1.4219,0.7229,0
9/15/2017,158.47,160.97,158,159.88,49114602,-71.9772,51.5442,-4.12,-0.6697,1.5966,0.9269,1
9/14/2017,158.99,159.4,158.09,158.28,23760749,-94.7368,47.1061,-5.07,-0.7136,1.7641,1.0505,0
9/13/2017,159.87,159.96,157.91,159.65,44907361,-75.2489,50.8059,-3.26,-0.5865,1.9424,1.3559,0
9/12/2017,162.61,163.96,158.77,160.86,71714046,-63.6505,54.3038,-0.61,-0.5026,2.0891,1.5865,0
9/11/2017,160.5,162.05,159.89,161.5,31580798,-49.711,56.2043,1.64,-0.4802,2.2147,1.7345,1
9/8/2017,160.86,161.15,158.53,158.63,28611535,-64.1919,48.733,-0.64,-0.5017,2.3348,1.8331,0
9/7/2017,162.09,162.24,160.36,161.26,21928502,-37.4368,57.0085,1.28,-0.2357,2.4602,2.2245,0
9/6/2017,162.71,162.99,160.52,161.91,21651726,-30.8243,59.3203,2.13,-0.0953,2.5191,2.4239,0
9/5/2017,163.75,164.25,160.56,162.08,29536314,-29.0949,59.9103,4.87,0.034,2.5429,2.5769,0
9/1/2017,164.8,164.94,163.63,164.05,16591051,-9.054,67.0908,6.55,0.183,2.5344,2.7175,1
8/31/2017,163.64,164.52,163.48,164,26785096,-5.5261,66.9976,6.14,0.1681,2.4887,2.6567,1
8/30/2017,163.8,163.89,162.61,163.35,27269584,-6.1504,65.8291,2.4,0.099,2.4467,2.5457,1
8/29/2017,160.1,163.12,160,162.91,29516910,-2.4735,65.0514,1.31,0.0112,2.4219,2.4331,1
8/28/2017,160.14,162,159.93,161.47,25965972,-13.198,62.4543,1.62,-0.1203,2.4191,2.2988,1
8/25/2017,159.65,160.56,159.27,159.86,25480063,-33.6294,59.3155,2.38,-0.2085,2.4492,2.2406,1
8/24/2017,160.43,160.74,158.55,159.27,19818918,-41.1168,58.1243,3.95,-0.2036,2.5013,2.2977,0
8/23/2017,159.07,160.47,158.88,159.98,19399081,-32.1066,60.0903,-1.08,-0.1551,2.5522,2.3971,1
8/22/2017,158.23,160,158.02,159.78,21604585,-34.6447,59.7341,-0.3,-0.1741,2.591,2.4169,1
8/21/2017,157.5,157.89,155.1101,157.21,26368528,-67.2589,54.9339,-1.6,-0.2072,2.6345,2.4274,0
8/18/2017,157.86,159.5,156.72,157.5,27428069,-35.5319,55.6287,1.11,-0.0192,2.6863,2.6671,0
8/17/2017,160.52,160.71,157.84,157.86,27940565,-32.3366,56.4519,2.29,0.2136,2.6911,2.9047,0
8/16/2017,161.94,162.51,160.15,160.95,27671612,-10.8484,63.9994,3.81,0.4914,2.6377,3.1291,0
8/15/2017,160.66,162.195,160.14,161.6,29465487,-3.9946,65.7157,11.55,0.5405,2.5149,3.0554,1
8/14/2017,159.32,160.21,158.75,159.85,22122734,-13.627,63.2521,11.12,0.471,2.3797,2.8507,1
8/11/2017,156.6,158.5728,156.07,157.48,26257096,-29.9381,59.6015,7.98,0.4641,2.262,2.7261,1
8/10/2017,159.9,160,154.63,155.32,40804273,-44.8039,55.8934,4.76,0.6229,2.146,2.7688,0
8/9/2017,159.26,161.27,159.11,161.059998,26131530,-5.2994,72.26,7.6,1.0127,1.9903,3.0029,1
8/8/2017,158.6,161.83,158.27,160.08,36205896,-12.044,70.9095,7.34,0.9366,1.7371,2.6736,1
8/7/2017,157.06,158.92,156.6701,158.81,21870321,-7.5502,69.0993,6.72,0.8113,1.5029,2.3142,1
8/4/2017,156.07,157.4,155.69,156.39,20559852,-26.988,65.276,6.12,0.6511,1.3001,1.9512,1
8/3/2017,157.05,157.21,155.02,155.57,27097296,-33.5743,63.8695,5.23,0.5684,1.1373,1.7058,0
8/2/2017,159.28,159.75,156.16,157.14,69936800,-20.9639,68.8261,6.12,0.456,0.9952,1.4512,1
8/1/2017,149.1,150.22,148.41,150.05,35368645,-46.0819,53.7873,-0.03,0.0641,0.8813,0.9454,1
7/31/2017,149.9,150.33,148.13,148.73,19845920,-57.361,49.5825,-0.83,0.1426,0.8652,1.0078,0
