,index,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
117,2867.0,85.44,85.62,84.78,85.21,12987900.0,-0.7514,-0.0326,-0.7188,47.0401,-37.9947,20.8615,0.47
118,4138.0,23.22,23.54,22.85,23.07,4291500.0,0.4202,0.0989,0.3213,57.3603,-14.5897,22.0548,1.92
119,2879.0,86.43,86.49,85.25,85.55,20641800.0,-0.2861,-0.7459,0.4598,44.6052,-95.6284,22.1349,-11.55
120,4304.0,23.2,23.29,22.5,22.76,2834700.0,-0.048,-0.2278,0.1797,44.4974,-91.3333,14.3539,-0.09
121,1669.0,380.8,389.5,379.45,388.83,15386100.0,-2.4744,-2.47,-0.0045,45.6928,-65.8529,10.242,-7.68
122,4094.0,24.05,24.49,23.6,23.75,3830900.0,0.0266,-0.0872,0.1139,48.0527,-67.3913,10.2984,-1.1
123,801.0,126.1,130.13,125.3,128.95,58512638.0,0.8475,-0.0304,0.8779,53.5646,-55.4563,13.3108,4.2
124,884.0,112.82,113.13,110.21,110.38,41403351.0,0.0554,-0.1182,0.1736,45.13399999999999,-51.5864,22.6904,3.635
125,4560.0,99.25,99.25,93.37,94.0,6613100.0,-6.3443,-1.2561,-5.0882,35.2374,-98.0839,26.891,-19.12
126,2615.0,126.27,127.08,124.06,124.63,32189300.0,-10.9716,1.2726,-12.2442,32.8632,-62.0227,54.2399,-9.12
127,4499.0,46.88,49.0,46.81,48.5,2565600.0,-3.5073,0.8298,-4.3371,41.3882,-48.4848,37.4904,1.25
128,1482.0,631.87,638.61,630.21,631.69,12148900.0,9.2229,2.1266,7.0964,67.0486,-10.1392,22.52,20.93
129,3565.0,26.57,27.57,26.55,26.67,7482800.0,-0.1225,-0.159,0.0366,48.3948,-59.589,19.0526,-1.03
130,3347.0,43.29,43.97,42.86,43.7,19326000.0,-8.3396,0.2829,-8.6225,30.8395,-19.637,54.8763,0.95
131,1205.0,496.1,496.91,482.6,490.64,27218100.0,-1.686,-1.8724,0.1865,56.2013,-28.4679,25.6641,-15.53
132,243.0,150.48,151.42,149.95,151.02,20615419.0,0.4478,0.9420000000000001,-0.4942,63.1226,-4.3764,22.6672,6.93
