,1. open,2. high,3. low,4. close,5. adjusted close,8. split coefficient,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM,Labels,Price Diffs,Price Diff Labels
957,98.65,100.435,98.63,100.11,93.6144,1.0,0.2795,-0.7883,-1.0677,45.163999999999994,-55.1595,20.758000000000003,-1.52,1,0.65,5
958,98.53,100.75,98.4,100.75,94.2129,1.0,0.3409,-0.7967,-1.1376,46.8753,-33.5735,20.4962,-0.91,0,-1.87,3
959,100.51,100.71,97.72,97.87,91.5197,1.0,0.3618,-0.861,-1.2228,36.8815,-75.072,20.2143,-3.56,1,1.64,6
960,102.16,102.85,101.2,101.75,95.148,1.0,0.6759999999999999,-0.6373,-1.3133,48.2323,-19.1643,19.885,0.75,0,-1.99,3
961,100.6,102.94,100.54,102.64,95.9802,1.0,0.7447,-0.7376,-1.4823,51.6158,-6.3401,21.1412,4.65,0,-2.56,3
962,101.8,102.14,100.58,101.06,94.5027,1.0,0.723,-0.9455,-1.6685,45.2889,-30.3116,22.494,2.7,0,-1.76,3
963,102.29,102.35,100.88,100.96,94.4092,1.0,0.813,-1.0362,-1.8492,44.8652,-36.5789,23.4875,1.99,0,-0.2,4
964,101.93,102.35,101.56,101.79,95.1854,1.0,0.9258,-1.1267,-2.0525,47.7131,-25.6579,24.7012,3.67,0,-1.57,3
965,101.27,101.8,100.5922,101.58,94.98899999999999,1.0,0.9735,-1.3104,-2.2839,46.9216,-28.4211,26.3313,2.64,0,-0.78,4
966,99.8,101.26,98.89,100.86,94.3157,1.0,1.0229,-1.5044,-2.5273,44.2337,-37.8947,27.8051,-2.44,0,-2.8,3
967,102.81,103.05,101.44,101.63,95.0358,1.0,1.1263,-1.6568,-2.783,46.5759,-27.7632,29.1175,-0.87,1,0.11,5
