Date,Date Value,Open,High,Low,Close,Adj Close,Volume
8/25/17,42972,159.649994,160.559998,159.270004,159.860001,158.031189,25480100
8/28/17,42975,160.139999,162,159.929993,161.470001,159.622787,25966000
8/29/17,42976,160.100006,163.119995,160,162.910004,161.046326,29516900
8/30/17,42977,163.800003,163.889999,162.610001,163.350006,161.481277,27269600
8/31/17,42978,163.639999,164.520004,163.479996,164,162.12384,26785100
9/1/17,42979,164.800003,164.940002,163.630005,164.050003,162.173279,16591100
9/5/17,42983,163.75,164.25,160.559998,162.080002,160.225815,29468500
9/6/17,42984,162.710007,162.990005,160.520004,161.910004,160.057755,21651700
9/7/17,42985,162.089996,162.240005,160.360001,161.259995,159.415192,21928500
9/8/17,42986,160.860001,161.149994,158.529999,158.630005,156.815277,28611500
9/11/17,42989,160.5,162.050003,159.889999,161.5,159.652451,31085900
9/12/17,42990,162.610001,163.960007,158.770004,160.860001,159.01976,71714000
9/13/17,42991,159.869995,159.960007,157.910004,159.649994,157.823593,44907400
9/14/17,42992,158.990005,159.399994,158.089996,158.279999,156.469269,23760700
9/15/17,42993,158.470001,160.970001,158,159.880005,158.050964,49114600
9/18/17,42996,160.110001,160.5,158,158.669998,156.854813,28269400
9/19/17,42997,159.509995,159.770004,158.440002,158.729996,156.914124,20810600
9/20/17,42998,157.899994,158.259995,153.830002,156.070007,154.284561,52951400
9/21/17,42999,155.800003,155.800003,152.75,153.389999,151.635208,37511700
9/22/17,43000,151.539993,152.270004,150.559998,151.889999,150.15239,46645400
9/25/17,43003,149.990005,151.830002,149.160004,150.550003,148.827698,44387300
9/26/17,43004,151.779999,153.919998,151.690002,153.139999,151.388062,36660000
9/27/17,43005,153.800003,154.720001,153.539993,154.229996,152.465607,25504200
9/28/17,43006,153.889999,154.279999,152.699997,153.279999,151.526474,22005500
9/29/17,43007,153.210007,154.130005,152,154.119995,152.356857,26299800
10/2/17,43010,154.259995,154.449997,152.720001,153.809998,152.050415,18698800
10/3/17,43011,154.009995,155.089996,153.910004,154.479996,152.712738,16230300
10/4/17,43012,153.630005,153.860001,152.460007,153.479996,151.724197,20163800
10/5/17,43013,154.179993,155.440002,154.050003,155.389999,153.612335,21283800
10/6/17,43014,154.970001,155.490005,154.559998,155.300003,153.523361,17407600
10/9/17,43017,155.809998,156.729996,155.490005,155.839996,154.057175,16262900
10/10/17,43018,156.059998,158,155.100006,155.899994,154.116486,15617000
10/11/17,43019,155.970001,156.979996,155.75,156.550003,154.759079,16905600
10/12/17,43020,156.350006,157.369995,155.729996,156,154.215363,16125100
10/13/17,43021,156.729996,157.279999,156.410004,156.990005,155.194031,16394200
10/16/17,43024,157.899994,160,157.649994,159.880005,158.050964,24121500
10/17/17,43025,159.779999,160.869995,159.229996,160.470001,158.634216,18997300
10/18/17,43026,160.419998,160.710007,159.600006,159.759995,157.932343,16374200
10/19/17,43027,156.75,157.080002,155.020004,155.979996,154.195572,42584200
10/20/17,43028,156.610001,157.75,155.960007,156.25,154.462494,23974100
10/23/17,43031,156.889999,157.690002,155.5,156.169998,154.383408,21984300
10/24/17,43032,156.289993,157.419998,156.199997,157.100006,155.302765,17757200
10/25/17,43033,156.910004,157.550003,155.270004,156.410004,154.620682,21207100
10/26/17,43034,157.229996,157.830002,156.779999,157.410004,155.609222,17000500
10/27/17,43035,159.289993,163.600006,158.699997,163.050003,161.184708,44454200
10/30/17,43038,163.889999,168.070007,163.720001,166.720001,164.812729,44700800
10/31/17,43039,167.899994,169.649994,166.940002,169.039993,167.106186,36046800
11/1/17,43040,169.869995,169.940002,165.610001,166.889999,164.980774,33637800
11/2/17,43041,166.600006,168.5,165.279999,168.110001,166.186829,41393400
11/3/17,43042,174,174.259995,171.119995,172.5,170.526596,59398600
11/6/17,43045,172.369995,174.990005,171.720001,174.25,172.256577,35026300
